SUPERMERCADO;Unimarc;CALLE CONSTITUCION 515;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;CALLE MANUEL BULNES 677, loc 97;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;REYNALDO BOLTZ 19.12 0 - L;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;AV.BALMACEDA - L.;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;FRANCISCO VARELA 490, LOC 9;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;BRASIL 715, RECOV8  - L.;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;AVENIDA EL SAUCE 81, LOC 6;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;ALESSANDRI 531,PE- L.11 UELAS;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;CALLE LOS ALAMOS/VIOLET.17 S - L;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;NICARAGUA 1571, CL.5 AS -;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;EL MILAGRO - L.62;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;CHACABUCO, VICUÃ‘A1  L.64;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;RG.ARICA 6011 EL , L954 GRADO;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;AV.8 DE SEPTIEMBR LAS PA  /AV.;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;CALLE INDEPENDENCIA 104;IV;ILLAPEL;;;;;
SUPERMERCADO;Unimarc;TANGUE 36 - L.21;IV;OVALLE;;;;;
SUPERMERCADO;Unimarc;BENAVENTE 221 - L 107;IV;OVALLE;;;;;
SUPERMERCADO;Unimarc;LIBERTAD 249 - OV573 I- L.;IV;OVALLE;;;;;
SUPERMERCADO;Lider;Av. Francisco de Aguirre # 2 - La Serena;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Av. Balmaceda # 2154 La Serena;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Guillermo Ulriksen 3128, La Serena;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Av. Los Clarines  2281, Coquimbo;IV;Los Clarines;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Av. Del Mar 2960, La Serena;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Av. Domeyko # 55 Coquimbo;IV;COQUIMBO;Ramon Guerra;Supervisor;;;
SUPERMERCADO;Lider;Regimiento Arica # 6145 esq. Balmaceda, La Serena;IV;PEÑUELAS;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Calle Recinto Interior Estación # 48 Ovalle;IV;OVALLE;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Padre Damian Heredia  915 Ovalle;IV;Peñafiel  Ovalle;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Calle Mestranza  443  Ovalle;IV;OVALLE;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Av. Bruno Larrain  340 Salamanca;IV;SALAMANCA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Lider;Salvador Allende 824;IV;ILLAPEL;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;EASY;RUTA CINCO NORTE, PARCELA 69;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;EASY;AVENIDA COPAYAPU 2406;IV;COPIAPO;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;JUMBO;PARC 69, VEGAS SU21  - J5;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;JUMBO;COPAYAPU 2406 - J60;IV;COPIAPO;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;JUMBO;AVENIDA LOS CARRE2-J844 A 333;IV;COPIAPO;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;SISA HENRIQUEZ 611, PALOMAR COPIAPO;IV;COPIAPO;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;SISA PINTO;IV;COQUIMBO;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;SISA LA HERRADURA;IV;COQUIMBO;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;SISA PRAT 327, HUASCO;IV;HUASCO;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;AVDA VICUNA MACKENNA 160, ISA 677;IV;OVALLE;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;SISA SAN JOAQUIN;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;SISA CIENFUEGOS;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;SISA LAS COMPAÑÍAS;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;SISA AV.PANORAMICA 820 LA FLORIDA;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;SISA SERRANO 1052, VALLENAR;IV;HUASCO;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;AVENIDA BALMACEDA 3039;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;V.MACKENNA 890;IV;OVALLE;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;AVENIDA LA CANTERA  1955;IV;LA SERENA;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;SANTA ISABEL;AVDA ARIZTIA;IV;OVALLE;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Tottus;Avda. Los Peñones S/N;IV;OVALLE;Ramon Gueraa;Supervisor;;;
SUPERMERCADO;Unimarc;CALLE MIRAFLORES 242;RM;BUIN;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE BALMACEDA 280;RM;BUIN;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE CAMINO BUIN MAIPO 3147;RM;BUIN;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA DORSAL 1201;RM;CONCHALÍ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA LOS ZAPADORES 1320;RM;CONCHALÍ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AV. EL PALOMAR 15.25 5 - L;IV;COQUIMBO;;;;;
SUPERMERCADO;Unimarc;AVDA LAS REJAS SUR 1278;RM;ESTACIÓN CENTRAL;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE RAFAEL LIRA 42;RM;GRANEROS;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA PEDRO FONTOVA 7626;RM;HUECHURABA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA SALOMON SACK 351;RM;INDEPENDENCIA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA GRAN AVDA J.M. CARRERA 6555;RM;LA CISTERNA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA VICUNA MACKENNA ORIE 6331;RM;LA FLORIDA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA ROJAS MAGALLANES 3638;RM;LA FLORIDA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA VIC. MACKENNA 9090;RM;LA FLORIDA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Lider;Federico Errázuriz  230 Santiago;RM;BUIN;Carlos Nuñez;KAM Walmart;Silas Ancar;Supervisor;
SUPERMERCADO;Unimarc;AVDA PRINCIPE DE GALES 7271;RM;LA REINA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Lider;Calle Pto. Madero 9710;RM;Central Ekono;Carlos Nuñez;KAM Walmart;Cindy Bravo;Supervisor;Corroborar Comuna (PUDAHUEL- MAIPU)
SUPERMERCADO;Lider;Av. Carrascal  6003 Santiago,Santiago;RM;Carrascal;Carlos Nuñez;KAM Walmart;Silas Ancar;Supervisor;
SUPERMERCADO;Unimarc;CALLE JOSE MIGUEL CARRERA 325;RM;LAS CABRAS;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA APOQUINDO 4335;RM;LAS CONDES;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA FRANCISCO BILBAO 2050;RM;LAS CONDES;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE LOS DOMINICOS 8630;RM;LAS CONDES;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA MANQUEHUE NORTE 457;RM;LAS CONDES;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA MANQUEHUE SUR 1700;RM;LAS CONDES;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Lider;Calle Catorce de la Fama 2841;RM;CM Conchalí;Carlos Nuñez;KAM Walmart;Eduardo Castañeda;Supervisor;Central Mayorista, definir cómo quedará el sub canal, si Lider o Central Mayorista cambiando canal por OTRO
SUPERMERCADO;Lider;AVDA AMERICO VESPUCIO;RM;CERRILLOS;Carlos Nuñez;KAM Walmart;Cindy Bravo;Supervisor;
SUPERMERCADO;Unimarc;LONGUITUDINAL SUR LOCAL 24 N°4251;RM;MAIPO;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA SEGUNDA TRANSVERSAL 4090;RM;MAIPÚ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA JORGE GUERRA 16190;RM;MAIPÚ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA CUATRO PONIENTE 1197;RM;MAIPÚ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CAMINO A MELIPILLA 16860;RM;MAIPÚ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA EL ROSAL 6361;RM;MAIPÚ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA LOS PAJARITOS 1529;RM;MAIPÚ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA CAMINO A RINCONADA 1900;RM;MAIPÚ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE RENE OLIVARES BECERRA 1427;RM;MAIPÚ;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE STA JULIA 3857;RM;ÑUÑOA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE JOSE ARTIGAS 3250;RM;ÑUÑOA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE OBPO ORREGO 1250;RM;ÑUÑOA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA GRECIA 320;RM;ÑUÑOA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA IRARRAZAVAL 4354;RM;ÑUÑOA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA IRARRAZAVAL 1740;RM;ÑUÑOA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA CONSISTORIAL 2701;RM;PEÑALOLÉN;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA LAS PARCELAS 9001;RM;PEÑALOLÉN;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;AVDA TOBALABA 11855;RM;PEÑALOLÉN;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Lider;AVDA AMERICO VESPUCIO;RM;CERRILLOS;Carlos Nuñez;KAM Walmart;Eduardo Castañeda;Supervisor;
SUPERMERCADO;Unimarc;AVDA. MANUEL MONTT 1097;RM;PROVIDENCIA;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Lider;Av. Lo Errazuriz 1625, Cerrillos;RM;CERRILLOS;Carlos Nuñez;KAM Walmart;Silas Ancar;Supervisor;
SUPERMERCADO;Lider;Huelén 1894, Cerro Navia;RM;Cerro Navia;Carlos Nuñez;KAM Walmart;Silas Ancar;Supervisor;
SUPERMERCADO;Lider;Calle Ramón Núñez 36;RM;CM Puente Alto;Carlos Nuñez;KAM Walmart;Leonardo Poblete;Supervisor;Central Mayorista, definir cómo quedará el sub canal, si Lider o Central Mayorista cambiando canal por OTRO
SUPERMERCADO;Lider;Av. Avda Sur Esquina Carmen  411, Maipú;RM;Carmen Maipú;Carlos Nuñez;KAM Walmart;Silas Ancar;Supervisor;Corrobrar comuna
SUPERMERCADO;Lider;Camino Melipilla  18500 Maipú, Santiago;RM;Ciudad Satélite;Carlos Nuñez;KAM Walmart;Silas Ancar;Supervisor;Corrobrar comuna
SUPERMERCADO;Lider;CALLE CHICUREO;RM;COLINA;Carlos Nuñez;KAM Walmart;Eduardo Castañeda;Supervisor;
SUPERMERCADO;Unimarc;AVDA EL CANAL 19591, KM. 12,5 ruta 68;RM;PUDAHUEL;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE SAN PABLO 8315;RM;PUDAHUEL;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Lider;Los Corrales 1512  , Colina;RM;COLINA;Carlos Nuñez;KAM Walmart;Eduardo Castañeda;Supervisor;
SUPERMERCADO;Unimarc;AVDA CONCHA Y TORO 3193;RM;PUENTE ALTO;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE GONZALO BULNES 2407;RM;QUINTA NORMAL;Tomás Mackenna;KAM SMU;;;
SUPERMERCADO;Unimarc;CALLE BRASIL  7085;RM;RENCA;Tomás Mackenna;KAM SMU;;;
